open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
26339.98000000,27068.09000000,26256.61000000,26844.35000000,35872.65974000,954193987.29481130,732735,17593.19977000,468128198.05453100
26844.35000000,28402.74000000,26652.00000000,28307.99000000,69666.95525000,1912797983.53100540,1189024,35052.57462000,962782935.68992990
28308.00000000,30800.00000000,28257.99000000,29993.89000000,108926.40412000,3210301129.36629090,1872873,55846.96952000,1646165465.24493830
29993.89000000,30500.00000000,29525.61000000,29884.92000000,59054.56460000,1775822103.76325550,1146092,27902.93312000,839284260.17982540
29884.92000000,31431.94000000,29800.00000000,30688.50000000,73931.89635000,2265077496.19546880,1338533,36289.31740000,1112439184.95065560
30688.51000000,30800.00000000,30250.00000000,30527.43000000,30513.30135000,933244397.70400210,776343,14497.56447000,443500647.92208220
30527.44000000,31046.01000000,30277.49000000,30462.66000000,30223.44801000,926316644.41676650,789910,14627.97473000,448414594.55878750
30462.67000000,30666.00000000,29930.00000000,30267.99000000,45180.41489000,1367837657.54518250,954783,22277.58284000,674540668.57266040
30267.99000000,30994.97000000,30226.17000000,30692.44000000,42699.64157000,1306206257.01935710,824373,21151.29517000,647203906.76564110
30692.44000000,30709.74000000,29858.80000000,30077.41000000,40463.51937000,1224103637.61325620,895470,19176.75428000,580226725.83338870
30077.40000000,30843.98000000,30049.98000000,30447.31000000,36330.62903000,1107940389.92424060,758428,17834.38857000,543872730.26172690
30447.31000000,31282.00000000,29500.00000000,30472.00000000,89419.07618000,2726355505.50635030,1559366,44319.81254000,1351735332.85857690
30471.99000000,30661.60000000,30320.57000000,30585.90000000,17501.75075000,533859338.13253830,567975,8102.13876000,247175148.95076600
30585.90000000,30791.00000000,30155.00000000,30617.03000000,23286.41019000,711031423.43344250,591533,10630.24740000,324616031.95816840
30617.02000000,31380.00000000,30570.27000000,31156.20000000,43761.64311000,1352635339.50439350,781855,20885.94331000,645698735.37734940
31156.20000000,31350.69000000,30620.00000000,30766.51000000,33206.11943000,1028794008.52452120,779472,14107.36566000,437126154.08412250
30766.52000000,30878.07000000,30200.00000000,30504.81000000,33215.67122000,1013694790.31705010,827926,15619.11716000,476478254.94341330
30504.80000000,31500.00000000,29850.45000000,29895.43000000,71319.62610000,2181763648.99526960,1397042,33952.63237000,1039137135.29355100
29895.42000000,30449.00000000,29701.02000000,30344.70000000,34070.53895000,1027461795.23320910,912948,14875.86309000,448638761.38389170
30344.70000000,30386.81000000,30044.47000000,30284.63000000,13094.59042000,395759717.57242780,480214,5990.91468000,181083431.19993060
30284.63000000,30445.52000000,30061.12000000,30160.71000000,15388.50196000,465781514.25894760,473168,7017.35093000,212433521.88972890
30160.71000000,31045.78000000,29950.00000000,30411.57000000,41262.87652000,1254289037.74207280,896853,19574.23470000,595390893.14500850
30411.57000000,30813.63000000,30300.00000000,30622.10000000,28476.83311000,868966244.24126920,691213,13670.16079000,417204801.16296210
